,university,journal,issn,access,notes
2135,University_of_Florida_Cleaned,JOURNAL OF DYNAMICS AND GAMES,2164-6066,0,
2136,University_of_Florida_Cleaned,JOURNAL OF ECOLOGY,0022-0477,1,
2137,University_of_Florida_Cleaned,JOURNAL OF ECONOMIC AND SOCIAL POLICY,1325-2224,1,
2138,University_of_Florida_Cleaned,JOURNAL OF ECONOMIC ENTOMOLOGY,0022-0493,1,
2139,University_of_Florida_Cleaned,JOURNAL OF ENERGY & NATURAL RESOURCES LAW,0264-6811,1,
2140,University_of_Florida_Cleaned,JOURNAL OF ENTOMOLOGICAL SCIENCE,0749-8004,1,
2141,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENT & DEVELOPMENT,1070-4965,1,
2142,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL ACCOUNTING AND MANAGEMENT,2325-6192,1,
2143,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1083-1363,1,
2144,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL BIOLOGY,0254-8704,1,
2145,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,0095-0696,1,
2146,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL ECONOMICS AND POLICY,2160-6544,0,
2147,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL ENGINEERING,0733-9372,1,
2148,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE,1496-2551,1,
2149,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL INFORMATICS,1726-2135,0,
2150,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL LAW,0952-8873,1,
2151,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL MANAGEMENT,0301-4797,1,
2152,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL MONITORING,1464-0325,1,
2153,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,0964-0568,1,
2154,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,1523-908X,0,
2155,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,1311-5065,1,
2156,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL QUALITY,0047-2425,1,
2157,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,0265-931X,1,
2158,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,0360-1234,1,
2159,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,0119-1144,0,
2160,University_of_Florida_Cleaned,JOURNAL OF ENVIRONMENTAL SCIENCES,1001-0742,1,
2161,University_of_Florida_Cleaned,JOURNAL OF ETHNOBIOLOGY,0278-0771,1,
2162,University_of_Florida_Cleaned,JOURNAL OF ETHNOPHARMACOLOGY,0378-8741,1,
2163,University_of_Florida_Cleaned,JOURNAL OF EUKARYOTIC MICROBIOLOGY,1066-5234,1,
2164,University_of_Florida_Cleaned,JOURNAL OF EUROPEAN PUBLIC POLICY,1350-1763,1,
2165,University_of_Florida_Cleaned,JOURNAL OF EXPERIENTIAL EDUCATION,1053-8259,1,
2166,University_of_Florida_Cleaned,JOURNAL OF EXPERIMENTAL BIOLOGY,0022-0949,1,
2167,University_of_Florida_Cleaned,JOURNAL OF EXPERIMENTAL BOTANY,0022-0957,1,
2168,University_of_Florida_Cleaned,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,1,
2169,University_of_Florida_Cleaned,JOURNAL OF FIELD ORNITHOLOGY,0273-8570,1,
2170,University_of_Florida_Cleaned,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,1944-687X,1,
2171,University_of_Florida_Cleaned,JOURNAL OF FISH BIOLOGY,0022-1112,1,
2172,University_of_Florida_Cleaned,JOURNAL OF FLOOD RISK MANAGEMENT,1753-318X,1,
2173,University_of_Florida_Cleaned,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,1459-0255,0,
2174,University_of_Florida_Cleaned,JOURNAL OF FOREST ECONOMICS,1104-6899,1,
2175,University_of_Florida_Cleaned,JOURNAL OF FOREST RESEARCH,1341-6979,1,
2176,University_of_Florida_Cleaned,JOURNAL OF FORESTRY,0022-1201,1,
2177,University_of_Florida_Cleaned,JOURNAL OF FORESTRY RESEARCH,1007-662X,1,
2178,University_of_Florida_Cleaned,JOURNAL OF FRESHWATER ECOLOGY,0270-5060,1,
2179,University_of_Florida_Cleaned,JOURNAL OF GENETICS,0022-1333,1,
2180,University_of_Florida_Cleaned,JOURNAL OF GEOGRAPHICAL SCIENCES,1009-637X,1,
2181,University_of_Florida_Cleaned,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2169-897X,1,
2182,University_of_Florida_Cleaned,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2169-8953,1,
2183,University_of_Florida_Cleaned,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,2169-9275,1,
2184,University_of_Florida_Cleaned,JOURNAL OF GREAT LAKES RESEARCH,0380-1330,1,
2185,University_of_Florida_Cleaned,JOURNAL OF GREEN BUILDING,1552-6100,1,
2186,University_of_Florida_Cleaned,JOURNAL OF HAZARDOUS MATERIALS,0304-3894,1,
2187,University_of_Florida_Cleaned,JOURNAL OF HELMINTHOLOGY,0022-149X,1,
2188,University_of_Florida_Cleaned,JOURNAL OF HEREDITY,0022-1503,1,
2189,University_of_Florida_Cleaned,JOURNAL OF HERPETOLOGY,0022-1511,1,
2190,University_of_Florida_Cleaned,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,1,
2191,University_of_Florida_Cleaned,JOURNAL OF HYDRAULIC RESEARCH,0022-1686,1,
2192,University_of_Florida_Cleaned,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,1570-6443,1,
2193,University_of_Florida_Cleaned,JOURNAL OF HYDROLOGIC ENGINEERING,1084-0699,1,
2194,University_of_Florida_Cleaned,JOURNAL OF HYDROLOGY,0022-1694,1,
2195,University_of_Florida_Cleaned,JOURNAL OF HYDROMETEOROLOGY,1525-755X,1,
2196,University_of_Florida_Cleaned,JOURNAL OF INDUSTRIAL ECOLOGY,1088-1980,1,
2197,University_of_Florida_Cleaned,JOURNAL OF INSECT BEHAVIOR,0892-7553,1,
2198,University_of_Florida_Cleaned,JOURNAL OF INSECT CONSERVATION,1366-638X,1,
2199,University_of_Florida_Cleaned,JOURNAL OF INSECT PHYSIOLOGY,0022-1910,1,
2200,University_of_Florida_Cleaned,JOURNAL OF INSECT SCIENCE,1536-2442,1,
2201,University_of_Florida_Cleaned,JOURNAL OF INTEGRATIVE AGRICULTURE,2095-3119,1,
2202,University_of_Florida_Cleaned,JOURNAL OF INTEGRATIVE ENVIRONMENTAL SCIENCES,1943-815X,1,
2203,University_of_Florida_Cleaned,JOURNAL OF INVERTEBRATE PATHOLOGY,0022-2011,1,
2204,University_of_Florida_Cleaned,JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY,1556-4894,1,
2205,University_of_Florida_Cleaned,JOURNAL OF LAND USE SCIENCE,1747-423X,1,
2206,University_of_Florida_Cleaned,JOURNAL OF LANDSCAPE ARCHITECTURE,1862-6033,1,
2207,University_of_Florida_Cleaned,JOURNAL OF LATIN AMERICAN GEOGRAPHY,1545-2476,1,
2208,University_of_Florida_Cleaned,JOURNAL OF LIMNOLOGY,1129-5767,1,
2209,University_of_Florida_Cleaned,JOURNAL OF MAMMALOGY,0022-2372,1,
2210,University_of_Florida_Cleaned,JOURNAL OF MANAGEMENT STUDIES,0022-2380,1,
2211,University_of_Florida_Cleaned,JOURNAL OF MAPS,1744-5647,1,
2212,University_of_Florida_Cleaned,JOURNAL OF MARINE SYSTEMS,0924-7963,1,
2213,University_of_Florida_Cleaned,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,0022-247X,1,
2214,University_of_Florida_Cleaned,JOURNAL OF MATHEMATICAL BIOLOGY,0303-6812,1,
2215,University_of_Florida_Cleaned,JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,1,
2216,University_of_Florida_Cleaned,JOURNAL OF MEDICAL ETHICS,0306-6800,1,
2217,University_of_Florida_Cleaned,JOURNAL OF MEDICINAL PLANTS RESEARCH,1996-0875,1,
2218,University_of_Florida_Cleaned,JOURNAL OF MICROBIOLOGICAL METHODS,0167-7012,1,
2219,University_of_Florida_Cleaned,JOURNAL OF MOLECULAR LIQUIDS,0167-7322,1,
2220,University_of_Florida_Cleaned,JOURNAL OF MOLLUSCAN STUDIES,0260-1230,1,
2221,University_of_Florida_Cleaned,JOURNAL OF MOUNTAIN SCIENCE,1672-6316,1,
2222,University_of_Florida_Cleaned,JOURNAL OF NATURAL HISTORY,0022-2933,1,
2223,University_of_Florida_Cleaned,JOURNAL OF NEAR INFRARED SPECTROSCOPY,0967-0335,0,
2224,University_of_Florida_Cleaned,JOURNAL OF NEMATOLOGY,0022-300X,1,
2225,University_of_Florida_Cleaned,JOURNAL OF OCEAN ENGINEERING AND SCIENCE,2468-0133,1,
2226,University_of_Florida_Cleaned,JOURNAL OF OCEANOLOGY AND LIMNOLOGY,2096-5508,1,
2227,University_of_Florida_Cleaned,JOURNAL OF ORNITHOLOGY,2193-7192,1,
2228,University_of_Florida_Cleaned,JOURNAL OF OUTDOOR RECREATION AND TOURISM-RESEARCH PLANNING AND MANAGEMENT,2213-0780,1,
2229,University_of_Florida_Cleaned,JOURNAL OF PALEOLIMNOLOGY,0921-2728,1,
2230,University_of_Florida_Cleaned,JOURNAL OF PARK AND RECREATION ADMINISTRATION,0735-1968,1,
2231,University_of_Florida_Cleaned,JOURNAL OF PEASANT STUDIES,0306-6150,1,
2232,University_of_Florida_Cleaned,JOURNAL OF PEDIATRIC INFECTIOUS DISEASES,1305-7707,1,
2233,University_of_Florida_Cleaned,JOURNAL OF PEST SCIENCE,1612-4758,1,
2234,University_of_Florida_Cleaned,JOURNAL OF PLANNING LITERATURE,0885-4122,1,
2235,University_of_Florida_Cleaned,JOURNAL OF PLANT DISEASES AND PROTECTION,1861-3829,1,
2236,University_of_Florida_Cleaned,JOURNAL OF PLANT ECOLOGY,1752-9921,1,
2237,University_of_Florida_Cleaned,JOURNAL OF PLANT NUTRITION,0190-4167,1,
2238,University_of_Florida_Cleaned,JOURNAL OF POLICY RESEARCH IN TOURISM LEISURE AND EVENTS,1940-7963,0,
2239,University_of_Florida_Cleaned,JOURNAL OF POLITICAL ECOLOGY,1073-0451,1,
2240,University_of_Florida_Cleaned,JOURNAL OF POLYMER ENGINEERING,0334-6447,0,
2241,University_of_Florida_Cleaned,JOURNAL OF RANGE MANAGEMENT,0022-409X,1,
2242,University_of_Florida_Cleaned,JOURNAL OF RAPTOR RESEARCH,0892-1016,1,
2243,University_of_Florida_Cleaned,JOURNAL OF RISK RESEARCH,1366-9877,1,
2244,University_of_Florida_Cleaned,JOURNAL OF RURAL STUDIES,0743-0167,1,
2245,University_of_Florida_Cleaned,JOURNAL OF SEA RESEARCH,1385-1101,1,
2246,University_of_Florida_Cleaned,JOURNAL OF SHELLFISH RESEARCH,0730-8000,1,
2247,University_of_Florida_Cleaned,JOURNAL OF SIMULATION,1747-7778,1,
2248,University_of_Florida_Cleaned,JOURNAL OF SOIL AND WATER CONSERVATION,0022-4561,1,
2249,University_of_Florida_Cleaned,JOURNAL OF SOILS AND SEDIMENTS,1439-0108,1,
2250,University_of_Florida_Cleaned,JOURNAL OF SOUTHERN AFRICAN STUDIES,0305-7070,1,
2251,University_of_Florida_Cleaned,JOURNAL OF SUSTAINABLE FORESTRY,1054-9811,1,
2252,University_of_Florida_Cleaned,JOURNAL OF SUSTAINABLE TOURISM,0966-9582,1,
2253,University_of_Florida_Cleaned,JOURNAL OF SYSTEMATICS AND EVOLUTION,1674-4918,1,
2254,University_of_Florida_Cleaned,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,1096-2247,1,
2255,University_of_Florida_Cleaned,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,8756-971X,1,
2256,University_of_Florida_Cleaned,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1093-474X,1,
2257,University_of_Florida_Cleaned,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,0103-5053,1,
2258,University_of_Florida_Cleaned,JOURNAL OF THE CHARTERED INSTITUTION OF WATER AND ENVIRONMENTAL MANAGEMENT,1747-6585,1,
2259,University_of_Florida_Cleaned,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,0016-7622,1,
2260,University_of_Florida_Cleaned,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,0255-660X,1,
2261,University_of_Florida_Cleaned,JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,0022-8567,1,
2262,University_of_Florida_Cleaned,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,0024-0966,1,
2263,University_of_Florida_Cleaned,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,0025-3154,1,
2264,University_of_Florida_Cleaned,JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,1391-4588,1,
2265,University_of_Florida_Cleaned,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,0887-3593,1,
2266,University_of_Florida_Cleaned,JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,1359-0987,1,
2267,University_of_Florida_Cleaned,JOURNAL OF THE ROYAL SOCIETY INTERFACE,1742-5689,1,
2268,University_of_Florida_Cleaned,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,0303-6758,1,
2269,University_of_Florida_Cleaned,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0035-9254,1,
2270,University_of_Florida_Cleaned,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,0022-5142,1,
2271,University_of_Florida_Cleaned,JOURNAL OF THE TORREY BOTANICAL SOCIETY,1095-5674,1,
2272,University_of_Florida_Cleaned,JOURNAL OF THEORETICAL BIOLOGY,0022-5193,1,
2273,University_of_Florida_Cleaned,JOURNAL OF THERMAL BIOLOGY,0306-4565,1,
2274,University_of_Florida_Cleaned,JOURNAL OF TRANSPORT GEOGRAPHY,0966-6923,1,
2275,University_of_Florida_Cleaned,JOURNAL OF TRAVEL RESEARCH,0047-2875,1,
2276,University_of_Florida_Cleaned,JOURNAL OF TROPICAL ECOLOGY,0266-4674,1,
2277,University_of_Florida_Cleaned,JOURNAL OF TROPICAL FOREST SCIENCE,0128-1283,1,
2278,University_of_Florida_Cleaned,JOURNAL OF URBAN MANAGEMENT,2226-5856,1,
2279,University_of_Florida_Cleaned,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,0733-9488,1,
2280,University_of_Florida_Cleaned,JOURNAL OF URBAN TECHNOLOGY,1063-0732,1,
2281,University_of_Florida_Cleaned,JOURNAL OF VEGETATION SCIENCE,1100-9233,1,
2282,University_of_Florida_Cleaned,JOURNAL OF WATER AND CLIMATE CHANGE,2040-2244,1,
2283,University_of_Florida_Cleaned,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,0733-9496,1,
2284,University_of_Florida_Cleaned,JOURNAL OF WILDLIFE DISEASES,0090-3558,1,
2285,University_of_Florida_Cleaned,JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1,
2286,University_of_Florida_Cleaned,JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE B,1673-1581,1,
2287,University_of_Florida_Cleaned,JOURNAL OF ZOOLOGY,0952-8369,1,
2288,University_of_Florida_Cleaned,JURNAL CITA HUKUM-INDONESIAN LAW JOURNAL,2356-1440,1,
2289,University_of_Florida_Cleaned,JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS,2087-9423,0,
2290,University_of_Florida_Cleaned,JURNAL TEKNOLOGI,0127-9696,0,
2291,University_of_Florida_Cleaned,KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,1961-9502,1,
2292,University_of_Florida_Cleaned,KUWAIT JOURNAL OF SCIENCE & ENGINEERING,1024-8684,0,
2293,University_of_Florida_Cleaned,LAKE AND RESERVOIR MANAGEMENT,1040-2381,1,
2294,University_of_Florida_Cleaned,LAND DEGRADATION & DEVELOPMENT,1085-3278,1,
2295,University_of_Florida_Cleaned,LAND ECONOMICS,0023-7639,1,
2296,University_of_Florida_Cleaned,LAND USE POLICY,0264-8377,1,
2297,University_of_Florida_Cleaned,LANDBAUFORSCHUNG,0458-6859,0,
2298,University_of_Florida_Cleaned,LANDSCAPE AND ECOLOGICAL ENGINEERING,1860-1871,1,
2299,University_of_Florida_Cleaned,LANDSCAPE AND URBAN PLANNING,0169-2046,1,
2300,University_of_Florida_Cleaned,LANDSCAPE ARCHITECTURE FRONTIERS,2095-5405,1,
2301,University_of_Florida_Cleaned,LANDSCAPE ECOLOGY,0921-2973,1,
2302,University_of_Florida_Cleaned,LANDSCAPE JOURNAL,0277-2426,1,
2303,University_of_Florida_Cleaned,LANDSCAPE RESEARCH,0142-6397,1,
2304,University_of_Florida_Cleaned,LATERALITY,1357-650X,1,
2305,University_of_Florida_Cleaned,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,0718-560X,1,
2306,University_of_Florida_Cleaned,LEADERSHIP,1742-7150,1,
2307,University_of_Florida_Cleaned,LEARNING CULTURE AND SOCIAL INTERACTION,2210-6561,1,
2308,University_of_Florida_Cleaned,LESNOY ZHURNAL-FORESTRY JOURNAL,0536-1036,0,
2309,University_of_Florida_Cleaned,LIMNETICA,0213-8409,0,
2310,University_of_Florida_Cleaned,LIMNOLOGICA,0075-9511,1,
2311,University_of_Florida_Cleaned,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1,
2312,University_of_Florida_Cleaned,LIMNOLOGY AND OCEANOGRAPHY-METHODS,1541-5856,1,
2313,University_of_Florida_Cleaned,LOCAL ENVIRONMENT,1354-9839,1,
2314,University_of_Florida_Cleaned,MADERA Y BOSQUES,2448-7597,1,
2315,University_of_Florida_Cleaned,MALACOLOGIA,0076-2997,1,
2316,University_of_Florida_Cleaned,MAMMAL RESEARCH,2199-2401,1,
2317,University_of_Florida_Cleaned,MAMMAL REVIEW,0305-1838,1,
2318,University_of_Florida_Cleaned,MAMMAL STUDY,1343-4152,1,
2319,University_of_Florida_Cleaned,MAMMALIAN BIOLOGY,1616-5047,1,
2320,University_of_Florida_Cleaned,MAN IN INDIA,0025-1569,0,
2321,University_of_Florida_Cleaned,MANAGEMENT OF BIOLOGICAL INVASIONS,1989-8649,1,
2322,University_of_Florida_Cleaned,MANAGEMENT OF ENVIRONMENTAL QUALITY,1477-7835,1,
2323,University_of_Florida_Cleaned,MARINE AND COASTAL FISHERIES,1942-5120,1,
2324,University_of_Florida_Cleaned,MARINE AND FRESHWATER RESEARCH,1323-1650,1,
2325,University_of_Florida_Cleaned,MARINE BIODIVERSITY,1867-1616,1,
2326,University_of_Florida_Cleaned,MARINE BIOLOGY,0025-3162,1,
2327,University_of_Florida_Cleaned,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,0173-9565,1,
2328,University_of_Florida_Cleaned,MARINE ECOLOGY PROGRESS SERIES,0171-8630,1,
2329,University_of_Florida_Cleaned,MARINE ENVIRONMENTAL RESEARCH,0141-1136,1,
2330,University_of_Florida_Cleaned,MARINE GEODESY,0149-0419,1,
2331,University_of_Florida_Cleaned,MARINE MAMMAL SCIENCE,0824-0469,1,
2332,University_of_Florida_Cleaned,MARINE POLICY,0308-597X,1,
2333,University_of_Florida_Cleaned,MARINE POLLUTION BULLETIN,0025-326X,1,
2334,University_of_Florida_Cleaned,MARINE RESOURCE ECONOMICS,0738-1360,1,
2335,University_of_Florida_Cleaned,MARINE TECHNOLOGY SOCIETY JOURNAL,0025-3324,1,
2336,University_of_Florida_Cleaned,MARITIME STUDIES,1872-7859,1,
2337,University_of_Florida_Cleaned,MATHEMATICAL AND COMPUTATIONAL FORESTRY & NATURAL-RESOURCE SCIENCES,1946-7664,1,
2338,University_of_Florida_Cleaned,MATHEMATICAL BIOSCIENCES,0025-5564,1,
2339,University_of_Florida_Cleaned,MATHEMATICS AND COMPUTERS IN SIMULATION,0378-4754,1,
2340,University_of_Florida_Cleaned,MEDICAL HYPOTHESES,0306-9877,1,
2341,University_of_Florida_Cleaned,MEDITERRANEAN BOTANY,2603-9109,1,
2342,University_of_Florida_Cleaned,MEDITERRANEAN MARINE SCIENCE,1108-393X,1,
2343,University_of_Florida_Cleaned,METALURGIA INTERNATIONAL,1582-2214,1,
2344,University_of_Florida_Cleaned,METHODS IN ECOLOGY AND EVOLUTION,2041-210X,1,
2345,University_of_Florida_Cleaned,METHODSX,2215-0161,1,
2346,University_of_Florida_Cleaned,MICROBIAL ECOLOGY,0095-3628,1,
2347,University_of_Florida_Cleaned,MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,1381-2386,1,
2348,University_of_Florida_Cleaned,MITOCHONDRIAL DNA PART A,2470-1394,1,
2349,University_of_Florida_Cleaned,MODELING EARTH SYSTEMS AND ENVIRONMENT,2363-6203,1,
2350,University_of_Florida_Cleaned,MOLECULAR BIOLOGY REPORTS,0301-4851,1,
2351,University_of_Florida_Cleaned,MOLECULAR ECOLOGY,0962-1083,1,
2352,University_of_Florida_Cleaned,MOLECULAR ECOLOGY RESOURCES,1755-098X,1,
2353,University_of_Florida_Cleaned,MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1,
2354,University_of_Florida_Cleaned,MOLLUSCAN RESEARCH,1323-5818,1,
2355,University_of_Florida_Cleaned,MOUNTAIN RESEARCH AND DEVELOPMENT,0276-4741,1,
2356,University_of_Florida_Cleaned,MYCOLOGIA,0027-5514,1,
2357,University_of_Florida_Cleaned,MYCORRHIZA,0940-6360,1,
2358,University_of_Florida_Cleaned,MYCOSPHERE,2077-7000,1,
2359,University_of_Florida_Cleaned,MYRMECOLOGICAL NEWS,1994-4136,0,
2360,University_of_Florida_Cleaned,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,0250-541X,1,
2361,University_of_Florida_Cleaned,NATURAL AREAS JOURNAL,0885-8608,1,
2362,University_of_Florida_Cleaned,NATURAL HAZARDS,0921-030X,1,
2363,University_of_Florida_Cleaned,NATURAL RESOURCE MODELING,0890-8575,1,
2364,University_of_Florida_Cleaned,NATURAL RESOURCES FORUM,0165-0203,1,
2365,University_of_Florida_Cleaned,NATURAL RESOURCES JOURNAL,0028-0739,1,
2366,University_of_Florida_Cleaned,NATURE,0028-0836,1,
2367,University_of_Florida_Cleaned,NATURE CLIMATE CHANGE,1758-678X,1,
2368,University_of_Florida_Cleaned,NATURE COMMUNICATIONS,2041-1723,1,
2369,University_of_Florida_Cleaned,NATURE ECOLOGY & EVOLUTION,2397-334X,1,
2370,University_of_Florida_Cleaned,NATURE PLANTS,2055-026X,1,
2371,University_of_Florida_Cleaned,NATURE SUSTAINABILITY,2398-9629,1,
2372,University_of_Florida_Cleaned,NATUREZA & CONSERVACAO,1679-0073,1,
2373,University_of_Florida_Cleaned,NATURWISSENSCHAFTEN,0028-1042,1,
2374,University_of_Florida_Cleaned,NEOTROPICAL ENTOMOLOGY,1519-566X,1,
2375,University_of_Florida_Cleaned,NEOTROPICAL ICHTHYOLOGY,1679-6225,1,
2376,University_of_Florida_Cleaned,NEW FORESTS,0169-4286,1,
2377,University_of_Florida_Cleaned,NEW PHYTOLOGIST,0028-646X,1,
2378,University_of_Florida_Cleaned,NEW ZEALAND JOURNAL OF BOTANY,0028-825X,1,
2379,University_of_Florida_Cleaned,NEW ZEALAND JOURNAL OF ECOLOGY,0110-6465,1,
2380,University_of_Florida_Cleaned,NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,0048-0134,1,
2381,University_of_Florida_Cleaned,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1,
2382,University_of_Florida_Cleaned,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,1573-5214,1,
2383,University_of_Florida_Cleaned,NONLINEAR DYNAMICS,0924-090X,1,
2384,University_of_Florida_Cleaned,NORDIC JOURNAL OF BOTANY,0107-055X,1,
2385,University_of_Florida_Cleaned,NORTH-WESTERN JOURNAL OF ZOOLOGY,1584-9074,1,
2386,University_of_Florida_Cleaned,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0275-5947,1,
2387,University_of_Florida_Cleaned,NORTHEASTERN NATURALIST,1092-6194,1,
2388,University_of_Florida_Cleaned,NORTHWEST SCIENCE,0029-344X,1,
2389,University_of_Florida_Cleaned,NOTORNIS,0029-4470,1,
2390,University_of_Florida_Cleaned,NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,0255-965X,1,
2391,University_of_Florida_Cleaned,NOVA HEDWIGIA,0029-5035,1,
2392,University_of_Florida_Cleaned,NUTRIENT CYCLING IN AGROECOSYSTEMS,1385-1314,1,
2393,University_of_Florida_Cleaned,OCEAN & COASTAL MANAGEMENT,0964-5691,1,
2394,University_of_Florida_Cleaned,OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320,1,
2395,University_of_Florida_Cleaned,OCEAN DYNAMICS,1616-7341,1,
2396,University_of_Florida_Cleaned,OCEANOGRAPHY,1042-8275,1,
2397,University_of_Florida_Cleaned,"OCEANOGRAPHY AND MARINE BIOLOGY, VOL 40",0078-3218,0,
2398,University_of_Florida_Cleaned,OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,1730-413X,1,
2399,University_of_Florida_Cleaned,ODONATOLOGICA,0375-0183,1,
2400,University_of_Florida_Cleaned,OECOLOGIA,0029-8549,1,
2401,University_of_Florida_Cleaned,OIKOS,0030-1299,1,
2402,University_of_Florida_Cleaned,OPEN AGRICULTURE,2391-9531,1,
2403,University_of_Florida_Cleaned,ORGANIZATION & ENVIRONMENT,1086-0266,1,
2404,University_of_Florida_Cleaned,ORNIS FENNICA,0030-5685,1,
2405,University_of_Florida_Cleaned,ORNITOLOGIA NEOTROPICAL,1075-4377,1,
2406,University_of_Florida_Cleaned,ORYX,0030-6053,1,
2407,University_of_Florida_Cleaned,OSTRICH,0030-6525,1,
2408,University_of_Florida_Cleaned,OUTLOOK ON AGRICULTURE,0030-7270,0,
2409,University_of_Florida_Cleaned,OXFORD REVIEW OF ECONOMIC POLICY,0266-903X,1,
2410,University_of_Florida_Cleaned,OXIDATION COMMUNICATIONS,0209-4541,1,
2411,University_of_Florida_Cleaned,PACIFIC SCIENCE,0030-8870,1,
2412,University_of_Florida_Cleaned,PADDY AND WATER ENVIRONMENT,1611-2490,1,
2413,University_of_Florida_Cleaned,PAKISTAN JOURNAL OF BOTANY,0556-3321,1,
2414,University_of_Florida_Cleaned,PAKISTAN JOURNAL OF ZOOLOGY,0030-9923,1,
2415,University_of_Florida_Cleaned,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,0031-0182,1,
2416,University_of_Florida_Cleaned,PALEOBIOLOGY,0094-8373,1,
2417,University_of_Florida_Cleaned,PALGRAVE COMMUNICATIONS,2055-1045,1,
2418,University_of_Florida_Cleaned,PAPERS IN REGIONAL SCIENCE,1056-8190,1,
2419,University_of_Florida_Cleaned,PARASITOLOGY,0031-1820,1,
