,journal,issn,access,notes,university
1081,PLANT SPECIES BIOLOGY,0913-557X,1,,ualberta
1082,PLANT SYSTEMATICS AND EVOLUTION,0378-2697,1,,ualberta
1083,PLANTA,0032-0935,1,,ualberta
1084,POLAR-POLITICAL AND LEGAL ANTHROPOLOGY REVIEW,1081-6976,1,,ualberta
1085,POLAR BIOLOGY,0722-4060,1,,ualberta
1086,POLAR RECORD,0032-2474,1,,ualberta
1087,POLICY SCIENCES,0032-2687,1,,ualberta
1088,POLICY STUDIES,0144-2872,1,,ualberta
1089,POLICY STUDIES JOURNAL,0190-292X,1,,ualberta
1090,POLISH JOURNAL OF ECOLOGY,1505-2249,1,,ualberta
1091,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,1230-1485,1,,ualberta
1092,POLITICAL GEOGRAPHY,0962-6298,1,,ualberta
1093,POPULATION ECOLOGY,1438-3896,1,,ualberta
1094,POTATO RESEARCH,0014-3065,1,,ualberta
1095,PRESLIA,0032-7786,1,,ualberta
1096,PREVENTIVE VETERINARY MEDICINE,0167-5877,1,,ualberta
1097,PRIMATES,0032-8332,1,,ualberta
1098,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,1741-7597,0,,ualberta
1099,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,1741-7589,1,,ualberta
1100,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,0370-047X,1,,ualberta
1101,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,1,,ualberta
1102,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,1,,ualberta
1103,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,0957-5820,1,,ualberta
1104,PROFESSIONAL GEOGRAPHER,0033-0124,1,,ualberta
1105,PROGRESS IN DEVELOPMENT STUDIES,1464-9934,1,,ualberta
1106,PROGRESS IN NATURAL SCIENCE-MATERIALS INTERNATIONAL,1002-0071,1,,ualberta
1107,PROGRESS IN OCEANOGRAPHY,0079-6611,1,,ualberta
1108,PROGRESS IN PHYSICAL GEOGRAPHY,0309-1333,1,,ualberta
1109,PROGRESS IN PLANNING,0305-9006,1,,ualberta
1110,PROPAGATION OF ORNAMENTAL PLANTS,1311-9109,0,,ualberta
1111,PROTIST,1434-4610,1,,ualberta
1112,PRZEMYSL CHEMICZNY,0033-2496,0,,ualberta
1113,PUBLIC ADMINISTRATION REVIEW,0033-3352,1,,ualberta
1114,PUBLIC HEALTH,0033-3506,1,,ualberta
1115,PUBLIC UNDERSTANDING OF SCIENCE,0963-6625,1,,ualberta
1116,QUALITY-ACCESS TO SUCCESS,1582-2559,1,,ualberta
1117,QUARTERLY REVIEW OF BIOLOGY,0033-5770,1,,ualberta
1118,QUATERNAIRE,1142-2904,1,,ualberta
1119,QUATERNARY GEOCHRONOLOGY,1871-1014,1,,ualberta
1120,QUATERNARY INTERNATIONAL,1040-6182,1,,ualberta
1121,QUATERNARY SCIENCE REVIEWS,0277-3791,1,,ualberta
1122,RAFFLES BULLETIN OF ZOOLOGY,0217-2445,1,,ualberta
1123,RANGE MANAGEMENT AND AGROFORESTRY,0971-2070,0,,ualberta
1124,RANGELAND ECOLOGY & MANAGEMENT,1550-7424,1,,ualberta
1125,RANGELAND JOURNAL,1036-9872,1,,ualberta
1126,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,0951-4198,1,,ualberta
1127,REDIA-GIORNALE DI ZOOLOGIA,0370-4327,0,,ualberta
1128,REGIONAL ENVIRONMENTAL CHANGE,1436-3798,1,,ualberta
1129,REGIONAL STUDIES,0034-3404,1,,ualberta
1130,REGIONAL STUDIES IN MARINE SCIENCE,2352-4855,1,,ualberta
1131,REMOTE SENSING OF ENVIRONMENT,0034-4257,1,,ualberta
1132,RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,2037-4631,1,,ualberta
1133,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,1,,ualberta
1134,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,1742-1705,1,,ualberta
1135,RESEARCH JOURNAL OF CHEMISTRY AND ENVIRONMENT,0972-0626,0,,ualberta
1136,RESEARCH JOURNAL OF PHARMACEUTICAL BIOLOGICAL AND CHEMICAL SCIENCES,0975-8585,1,,ualberta
1137,RESEARCH POLICY,0048-7333,1,,ualberta
1138,RESILIENCE-INTERNATIONAL POLICIES PRACTICES AND DISCOURSES,2169-3293,0,,ualberta
1139,RESOURCE AND ENERGY ECONOMICS,0928-7655,1,,ualberta
1140,RESOURCES CONSERVATION AND RECYCLING,0921-3449,1,,ualberta
1141,RESOURCES POLICY,0301-4207,1,,ualberta
1142,RESTORATION ECOLOGY,1061-2971,1,,ualberta
1143,REVIEW OF BEHAVIORAL ECONOMICS,2326-6198,0,,ualberta
1144,REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY,1750-6816,1,,ualberta
1145,REVIEW OF PALAEOBOTANY AND PALYNOLOGY,0034-6667,1,,ualberta
1146,REVIEW OF POLICY RESEARCH,1541-132X,1,,ualberta
1147,REVIEWS IN AQUACULTURE,1753-5123,1,,ualberta
1148,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,1569-1705,1,,ualberta
1149,REVIEWS IN FISH BIOLOGY AND FISHERIES,0960-3166,1,,ualberta
1150,REVIEWS IN FISHERIES SCIENCE,1064-1262,1,,ualberta
1151,REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,2330-8249,1,,ualberta
1152,REVISTA ARVORE,0100-6762,1,,ualberta
1153,REVISTA DE BIOLOGIA TROPICAL,0034-7744,1,,ualberta
1154,REVISTA DE CHIMIE,0034-7752,0,,ualberta
1155,REVISTA MEXICANA DE BIODIVERSIDAD,1870-3453,1,,ualberta
1156,REVISTA PUBLICANDO,1390-9304,0,,ualberta
1157,REVUE D ANTHROPOLOGIE DES CONNAISSANCES,1760-5393,1,,ualberta
1158,REVUE D ECOLOGIE-LA TERRE ET LA VIE,0249-7395,1,,ualberta
1159,REVUE DE MEDECINE VETERINAIRE,0035-1555,1,,ualberta
1160,REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,0253-1933,1,,ualberta
1161,RHODORA,0035-4902,1,,ualberta
1162,RISK ANALYSIS,0272-4332,1,,ualberta
1163,RIVER RESEARCH AND APPLICATIONS,1535-1459,1,,ualberta
1164,ROMANIAN AGRICULTURAL RESEARCH,1222-4227,0,,ualberta
1165,ROMANIAN BIOTECHNOLOGICAL LETTERS,1224-5984,1,,ualberta
1166,RSC ADVANCES,2046-2069,1,,ualberta
1167,RURAL AND REMOTE HEALTH,1445-6354,1,,ualberta
1168,RURAL SOCIETY,1037-1656,1,,ualberta
1169,RURAL SOCIOLOGY,0036-0112,1,,ualberta
1170,RUSSIAN JOURNAL OF MARINE BIOLOGY,1063-0740,1,,ualberta
1171,RUSSIAN JOURNAL OF NEMATOLOGY,0869-6918,0,,ualberta
1172,SAINS MALAYSIANA,0126-6039,0,,ualberta
1173,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,1319-562X,1,,ualberta
1174,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,0282-7581,1,,ualberta
1175,SCIENCE,0036-8075,1,,ualberta
1176,SCIENCE ADVANCES,2375-2548,1,,ualberta
1177,SCIENCE AND ENGINEERING ETHICS,1353-3452,1,,ualberta
1178,SCIENCE AND TECHNOLOGY STUDIES,2243-4690,1,,ualberta
1179,SCIENCE AS CULTURE,0950-5431,0,,ualberta
1180,SCIENCE CHINA-EARTH SCIENCES,1674-7313,1,,ualberta
1181,SCIENCE CHINA-TECHNOLOGICAL SCIENCES,1674-7321,1,,ualberta
1182,SCIENCE COMMUNICATION,1075-5470,1,,ualberta
1183,SCIENCE IN CHINA SERIES C-LIFE SCIENCES,1006-9305,1,,ualberta
1184,SCIENCE IN CHINA SERIES D-EARTH SCIENCES,1006-9313,0,,ualberta
1185,SCIENCE IN CHINA SERIES E-ENGINEERING & MATERIALS SCIENCE,1006-9321,0,,ualberta
1186,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,1,,ualberta
1187,SCIENCE TECHNOLOGY & HUMAN VALUES,0162-2439,1,,ualberta
1188,SCIENCE TECHNOLOGY AND SOCIETY,0971-7218,1,,ualberta
1189,SCIENTIA FORESTALIS,1413-9324,1,,ualberta
1190,SCIENTIA MARINA,0214-8358,1,,ualberta
1191,SCIENTIFIC PAPERS-SERIES D-ANIMAL SCIENCE,2285-5750,1,,ualberta
1192,SCIENTIFIC PAPERS-SERIES MANAGEMENT ECONOMIC ENGINEERING IN AGRICULTURE AND RURAL DEVELOPMENT,2284-7995,1,,ualberta
1193,SCIENTIFIC RESEARCH AND ESSAYS,1992-2248,0,,ualberta
1194,SCOTTISH GEOGRAPHICAL JOURNAL,1470-2541,1,,ualberta
1195,SCRIPTA NOVA-REVISTA ELECTRONICA DE GEOGRAFIA Y CIENCIAS SOCIALES,1138-9788,0,,ualberta
1196,SEED SCIENCE RESEARCH,0960-2585,1,,ualberta
1197,SEEFOR-SOUTH-EAST EUROPEAN FORESTRY,1847-6481,1,,ualberta
1198,SILVA FENNICA,0037-5330,1,,ualberta
1199,SILVAE GENETICA,0037-5349,1,,ualberta
1200,SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,0037-5497,1,,ualberta
1201,SIMULATION MODELLING PRACTICE AND THEORY,1569-190X,1,,ualberta
1202,SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,0129-7619,1,,ualberta
1203,SMALL-SCALE FORESTRY,1873-7617,1,,ualberta
1204,SMALL RUMINANT RESEARCH,0921-4488,1,,ualberta
1205,SOCIAL INCLUSION,2183-2803,1,,ualberta
1206,SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,0539-0184,1,,ualberta
1207,SOCIAL SCIENCE QUARTERLY,0038-4941,1,,ualberta
1208,SOCIETY & NATURAL RESOURCES,0894-1920,1,,ualberta
1209,SOCIOBIOLOGY,0361-6525,0,,ualberta
1210,SOCIOLOGIA RURALIS,0038-0199,1,,ualberta
1211,SOCIOLOGICAL INQUIRY,0038-0245,1,,ualberta
1212,SOCIOLOGICAL QUARTERLY,0038-0253,1,,ualberta
1213,SOIL & TILLAGE RESEARCH,0167-1987,1,,ualberta
1214,SOIL BIOLOGY & BIOCHEMISTRY,0038-0717,1,,ualberta
1215,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,0361-5995,1,,ualberta
1216,SOIL USE AND MANAGEMENT,0266-0032,1,,ualberta
1217,SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN,0038-1969,1,,ualberta
1218,SOUTH AFRICAN GEOGRAPHICAL JOURNAL,0373-6245,1,,ualberta
1219,SOUTH AFRICAN JOURNAL OF BOTANY,0254-6299,1,,ualberta
1220,SOUTH AFRICAN JOURNAL OF GEOMATICS,2225-8531,1,,ualberta
1221,SOUTH AFRICAN JOURNAL ON HUMAN RIGHTS,0258-7203,1,,ualberta
1222,SOUTH AMERICAN JOURNAL OF HERPETOLOGY,1808-9798,1,,ualberta
1223,SOUTHEASTERN NATURALIST,1528-7092,1,,ualberta
1224,SOUTHERN FORESTS,2070-2620,1,,ualberta
1225,SPANISH JOURNAL OF AGRICULTURAL RESEARCH,1695-971X,1,,ualberta
1226,SPATIAL STATISTICS,2211-6753,1,,ualberta
1227,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,1386-1425,1,,ualberta
1228,SPRINGERPLUS,2193-1801,1,,ualberta
1229,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,1436-3240,1,,ualberta
1230,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,0165-0521,1,,ualberta
1231,SURVEYS IN GEOPHYSICS,0169-3298,1,,ualberta
1232,SUSTAINABILITY SCIENCE,1862-4065,1,,ualberta
1233,SUSTAINABLE CITIES AND SOCIETY,2210-6707,1,,ualberta
1234,SUSTAINABLE DEVELOPMENT,0968-0802,1,,ualberta
1235,SUSTAINABLE WATER RESOURCES MANAGEMENT,2363-5037,1,,ualberta
1236,SYSTEMATIC BIOLOGY,1063-5157,1,,ualberta
1237,SYSTEMATICS AND BIODIVERSITY,1477-2000,1,,ualberta
1238,SYSTEMIC PRACTICE AND ACTION RESEARCH,1094-429X,1,,ualberta
1239,SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,1092-7026,1,,ualberta
1240,TAIWANIA,0372-333X,1,,ualberta
1241,TARIH KULTUR VE SANAT ARASTIRMALARI DERGISI-JOURNAL OF HISTORY CULTURE AND ART RESEARCH,2147-0626,1,,ualberta
1242,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,1017-0839,1,,ualberta
1243,THEORETICAL AND APPLIED CLIMATOLOGY,0177-798X,1,,ualberta
1244,THEORETICAL AND APPLIED ECOLOGY,1995-4301,0,,ualberta
1245,THEORETICAL AND APPLIED GENETICS,0040-5752,1,,ualberta
1246,THEORETICAL ECOLOGY,1874-1738,1,,ualberta
1247,THEORETICAL POPULATION BIOLOGY,0040-5809,1,,ualberta
1248,THERIOGENOLOGY,0093-691X,1,,ualberta
1249,THESIS ELEVEN,0725-5136,1,,ualberta
1250,THIRD WORLD QUARTERLY,0143-6597,1,,ualberta
1251,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,0040-747X,1,,ualberta
1252,TOURISM AND HOSPITALITY RESEARCH,1467-3584,1,,ualberta
1253,TOURISM GEOGRAPHIES,1461-6688,0,,ualberta
1254,TOURISM MANAGEMENT,0261-5177,1,,ualberta
1255,TOXICOLOGY AND INDUSTRIAL HEALTH,0748-2337,1,,ualberta
1256,TOXICOLOGY LETTERS,0378-4274,1,,ualberta
1257,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,0002-8487,1,,ualberta
1258,TRANSACTIONS OF THE ASABE,2151-0032,1,,ualberta
1259,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,0020-2754,1,,ualberta
1260,TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,0372-1426,1,,ualberta
1261,TRANSBOUNDARY AND EMERGING DISEASES,1865-1674,1,,ualberta
1262,TRANSFORMATIONS IN BUSINESS & ECONOMICS,1648-4460,0,,ualberta
1263,TRANSGENIC RESEARCH,0962-8819,1,,ualberta
1264,TRANSLATIONAL RESEARCH,1931-5244,1,,ualberta
1265,TRANSNATIONAL ENVIRONMENTAL LAW,2047-1025,1,,ualberta
1266,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209,1,,ualberta
1267,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,1369-8478,1,,ualberta
1268,TRANSPORTATION RESEARCH RECORD,0361-1981,1,,ualberta
1269,TREE GENETICS & GENOMES,1614-2942,1,,ualberta
1270,TREE PHYSIOLOGY,0829-318X,1,,ualberta
1271,TREES-STRUCTURE AND FUNCTION,0931-1890,1,,ualberta
1272,TRENDS IN BIOTECHNOLOGY,0167-7799,1,,ualberta
1273,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1,,ualberta
1274,TRENDS IN FOOD SCIENCE & TECHNOLOGY,0924-2244,1,,ualberta
1275,TRENDS IN PLANT SCIENCE,1360-1385,1,,ualberta
1276,TROPICAL CONSERVATION SCIENCE,1940-0829,1,,ualberta
1277,TROPICAL ECOLOGY,0564-3295,0,,ualberta
1278,TROPICAL GRASSLANDS-FORRAJES TROPICALES,2346-3775,0,,ualberta
1279,TUEXENIA,0722-494X,0,,ualberta
1280,TURKISH JOURNAL OF BOTANY,1300-008X,1,,ualberta
1281,TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1303-2712,1,,ualberta
1282,TURKISH JOURNAL OF ZOOLOGY,1300-0179,1,,ualberta
1283,UNIVERSITY OF ILLINOIS LAW REVIEW,0276-9948,1,,ualberta
1284,URBAN ECOSYSTEMS,1083-8155,1,,ualberta
1285,URBAN FORESTRY & URBAN GREENING,1618-8667,1,,ualberta
1286,URBAN WATER JOURNAL,1573-062X,1,,ualberta
1287,URSUS,1537-6176,1,,ualberta
1288,VADOSE ZONE JOURNAL,1539-1663,1,,ualberta
1289,VANDERBILT LAW REVIEW,0042-2533,1,,ualberta
1290,VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,1,,ualberta
1291,VEGETATION HISTORY AND ARCHAEOBOTANY,0939-6314,1,,ualberta
1292,VETERINARY PARASITOLOGY,0304-4017,1,,ualberta
1293,VETERINARY RESEARCH COMMUNICATIONS,0165-7380,1,,ualberta
1294,VIE ET MILIEU-LIFE AND ENVIRONMENT,0240-8759,0,,ualberta
1295,VIRUS RESEARCH,0168-1702,1,,ualberta
1296,VITIS,0042-7500,1,,ualberta
1297,VIVAT ACADEMIA,1575-2844,1,,ualberta
1298,WASHINGTON LAW REVIEW,0043-0617,1,,ualberta
1299,WASTE MANAGEMENT & RESEARCH,0734-242X,1,,ualberta
1300,WATER AIR AND SOIL POLLUTION,0049-6979,1,,ualberta
1301,WATER ALTERNATIVES-AN INTERDISCIPLINARY JOURNAL ON WATER POLITICS AND DEVELOPMENT,1965-0175,1,,ualberta
1302,WATER ENVIRONMENT RESEARCH,1061-4303,1,,ualberta
1303,WATER INTERNATIONAL,0250-8060,0,,ualberta
1304,WATER POLICY,1366-7017,1,,ualberta
1305,WATER QUALITY EXPOSURE AND HEALTH,1876-1658,1,,ualberta
1306,WATER RESEARCH,0043-1354,1,,ualberta
1307,WATER RESOURCES MANAGEMENT,0920-4741,1,,ualberta
1308,WATER RESOURCES RESEARCH,0043-1397,1,,ualberta
1309,WATER SA,0378-4738,1,,ualberta
1310,WATER SCIENCE AND TECHNOLOGY,0273-1223,1,,ualberta
1311,WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY,1606-9749,1,,ualberta
1312,WATERBIRDS,1524-4695,1,,ualberta
1313,WEATHER AND CLIMATE EXTREMES,2212-0947,1,,ualberta
1314,WEATHER CLIMATE AND SOCIETY,1948-8327,1,,ualberta
1315,WEED RESEARCH,0043-1737,1,,ualberta
1316,WEED SCIENCE,0043-1745,1,,ualberta
1317,WEED TECHNOLOGY,0890-037X,1,,ualberta
1318,WESTERN JOURNAL OF APPLIED FORESTRY,0885-6095,1,,ualberta
1319,WESTERN NORTH AMERICAN NATURALIST,1527-0904,1,,ualberta
1320,WETLANDS,0277-5212,1,,ualberta
1321,WETLANDS ECOLOGY AND MANAGEMENT,0923-4861,1,,ualberta
1322,WIENER TIERARZTLICHE MONATSSCHRIFT,0043-535X,0,,ualberta
1323,WILDLIFE BIOLOGY,0909-6396,1,,ualberta
1324,WILDLIFE MONOGRAPHS,0084-0173,1,,ualberta
1325,WILDLIFE RESEARCH,1035-3712,1,,ualberta
1326,WILDLIFE SOCIETY BULLETIN,0091-7648,1,,ualberta
1327,WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,1757-7780,1,,ualberta
1328,WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT,2041-8396,1,,ualberta
1329,WILEY INTERDISCIPLINARY REVIEWS-WATER,2049-1948,1,,ualberta
1330,WORLD BANK RESEARCH OBSERVER,0257-3032,1,,ualberta
1331,WORLD DEVELOPMENT,0305-750X,1,,ualberta
1332,WORLD JOURNAL OF SCIENCE TECHNOLOGY AND SUSTAINABLE DEVELOPMENT,2042-5953,1,,ualberta
1333,WORLD RABBIT SCIENCE,1257-5011,1,,ualberta
1334,WORLDVIEWS-GLOBAL RELIGIONS CULTURE AND ECOLOGY,1363-5247,1,,ualberta
1335,ZEITSCHRIFT FUR WIRTSCHAFTSGEOGRAPHIE,0044-3751,1,,ualberta
1336,ZKG INTERNATIONAL,0949-0205,0,,ualberta
1337,ZOO BIOLOGY,0733-3188,1,,ualberta
1338,ZOOKEYS,1313-2989,1,,ualberta
1339,ZOOLOGIA,1984-4689,1,,ualberta
1340,ZOOLOGICA SCRIPTA,0300-3256,1,,ualberta
1341,ZOOLOGICAL SCIENCE,0289-0003,1,,ualberta
1342,ZOOLOGICAL STUDIES,1021-5506,1,,ualberta
1343,ZOOLOGISCHER ANZEIGER,0044-5231,1,,ualberta
1344,ZOOSYSTEMA,1280-9551,1,,ualberta
1345,ZOOTAXA,1175-5326,1,,ualberta
1346,ALLGEMEINE FORST UND JAGDZEITUNG,0002-5852,1,,ualberta
1347,ANNALES BOTANICI FENNICI,0003-3847,1,,ualberta
1348,ANNALS OF ARID ZONE,0570-1791,0,,ualberta
1349,AQUACULTURE ECONOMICS & MANAGEMENT,1365-7305,1,,ualberta
1350,AQUATIC MICROBIAL ECOLOGY,0948-3055,1,,ualberta
1351,CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS,0575-3317,0,,ualberta
1352,COMPUTERS & MATHEMATICS WITH APPLICATIONS,0898-1221,1,,ualberta
1353,ECONOMY AND SOCIETY,0308-5147,1,,ualberta
1354,EURASIAN SOIL SCIENCE,1064-2293,1,,ualberta
1355,GENETIC ANALYSIS-BIOMOLECULAR ENGINEERING,1050-3862,1,,ualberta
1356,GLOBAL HEALTH ACTION,1654-9880,1,,ualberta
1357,INTERNATIONAL JOURNAL OF WATER GOVERNANCE,2211-4491,0,,ualberta
1358,INTERNATIONAL REGIONAL SCIENCE REVIEW,0160-0176,1,,ualberta
1359,JOURNAL OF AFRICAN ECONOMIES,0963-8024,1,,ualberta
1360,JOURNAL OF AQUATIC ANIMAL HEALTH,0899-7659,1,,ualberta
1361,JOURNAL OF INSTITUTIONAL ECONOMICS,1744-1374,1,,ualberta
1362,JOURNAL OF REPRODUCTION AND FERTILITY,2228-5482,1,,ualberta
1363,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A,1528-7394,1,,ualberta
1364,MCGILL INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT LAW AND POLICY,1712-9664,1,,ualberta
1365,NATURE & RESOURCES,0028-0844,0,,ualberta
1366,PHARMACEUTICAL BIOLOGY,1388-0209,1,,ualberta
1367,POLITICS AND THE LIFE SCIENCES,0730-9384,1,,ualberta
1368,PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,0016-7878,1,,ualberta
1369,PURE AND APPLIED CHEMISTRY,0033-4545,1,,ualberta
1370,REGULATED RIVERS-RESEARCH & MANAGEMENT,0886-9375,1,,ualberta
1371,VETERINARIJA IR ZOOTECHNIKA,1392-2130,1,,ualberta
